periodid,periodname,periodcode,perioddescription,dataid,dataname,datacode,datadescription,Total
201312,Dec-13,201312,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],20
201401,Jan-14,201401,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],16
201402,Feb-14,201402,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],13
201403,Mar-14,201403,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],27
201404,Apr-14,201404,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201405,May-14,201405,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],26
201406,Jun-14,201406,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],24
201407,Jul-14,201407,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],14
201408,Aug-14,201408,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],20
201409,Sep-14,201409,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201410,Oct-14,201410,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],17
201411,Nov-14,201411,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],12
201412,Dec-14,201412,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],10
201501,Jan-15,201501,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],28
201502,Feb-15,201502,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],21
201503,Mar-15,201503,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],10
201504,Apr-15,201504,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],23
201505,May-15,201505,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],11
201506,Jun-15,201506,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],25
201507,Jul-15,201507,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],26
201508,Aug-15,201508,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],34
201509,Sep-15,201509,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],13
201510,Oct-15,201510,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],30
201511,Nov-15,201511,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],14
201512,Dec-15,201512,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],11
201601,Jan-16,201601,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],13
201602,Feb-16,201602,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],15
201603,Mar-16,201603,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],24
201604,Apr-16,201604,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],22
201605,May-16,201605,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201606,Jun-16,201606,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],22
201607,Jul-16,201607,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],24
201608,Aug-16,201608,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],18
201609,Sep-16,201609,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],16
201610,Oct-16,201610,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],22
201611,Nov-16,201611,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],23
201612,Dec-16,201612,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],14
201701,Jan-17,201701,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],17
201702,Feb-17,201702,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],23
201703,Mar-17,201703,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],15
201704,Apr-17,201704,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],36
201705,May-17,201705,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],17
201706,Jun-17,201706,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],14
201707,Jul-17,201707,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],9
201708,Aug-17,201708,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],6
201709,Sep-17,201709,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],12
201710,Oct-17,201710,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],18
201711,Nov-17,201711,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],14
201712,Dec-17,201712,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],18
201801,Jan-18,201801,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],22
201802,Feb-18,201802,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],21
201803,Mar-18,201803,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],10
201804,Apr-18,201804,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],22
201805,May-18,201805,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],13
201806,Jun-18,201806,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],18
201807,Jul-18,201807,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],24
201808,Aug-18,201808,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],20
201809,Sep-18,201809,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],25
201810,Oct-18,201810,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],11
201811,Nov-18,201811,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],16
201812,Dec-18,201812,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201901,Jan-19,201901,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],22
201902,Feb-19,201902,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],21
201903,Mar-19,201903,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201904,Apr-19,201904,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201905,May-19,201905,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],17
201906,Jun-19,201906,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],21
201907,Jul-19,201907,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],14
201908,Aug-19,201908,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],17
201909,Sep-19,201909,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],17
201910,Oct-19,201910,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],20
201911,Nov-19,201911,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],19
201912,Dec-19,201912,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],17
202001,Jan-20,202001,,m7Ah610sSH0,105-2.2 OPD Maternal deaths,105-2.2:M16,M16-Maternal deaths - [105],2
